english,name,type,dosage,disposition
CEFTAZIDIME,زاک زیدیم,پودر,1 g g,برای تهیه محلول تزریقی پرنترال
RALOXIFENE HYDROCHLORIDE,رالوفن,قرص,60 mg,خوراکی 
ACETAMINOPHEN / CAFFEINE / IBUPROFEN,تری نوپین,کپسول,325 mg/40 mg/200 mg,خوراکی 
ARIPIPRAZOLE,آریپیفای,قرص,10 mg,خوراکی 
SALMETEROL (AS XINAFOATE) / FLUTICASONE PROPIONATE,ساتیکا,کپسول,50 ug/100 ug/1{dose},استنشاقی 
VENLAFAXINE,دپریلکس,کپسول,37.5 mg,پیوسته رهش خوراکی
TOFACITINIB (AS CITRATE),توفازا,قرص,10 mg,خوراکی 
PROPOFOL,پروپوفول ام سی تی,امولسیون,10 mg/1mL 20 mg,تزریقی پرنترال
ACICLOVIR,روویرو,پودر,250 mg mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
AZITHROMYCIN,آزيترومايسين,کپسول,500 mg,خوراکی 
IOPAMIDOL,آیوپامیدول,تزریقی,370 mg/1mL 50 mL,پرنترال 
ETANERCEPT,انبرل,محلول,25 mg/0.5mL mL,تزریقی زیر جلدی
GUAIFENESIN / CHLORPHENIRAMINE / PHENYLEPHRINE,کوفکس,شربت,100 mg/2 mg/5 mg/5mL 60 mL,خوراکی 
LOSARTAN POTASSIUM,لوزاژین,قرص,50 mg,خوراکی 
DOMPERIDONE,دومتیدون,سوسپانسیون,1 mg/1 mL 120 mL,خوراکی 
LINEZOLID,لینووکس,قرص,600 mg,خوراکی 
TRETINOIN,وزانویید,کپسول,10 mg,خوراکی 
CETIRIZINE HYDROCHLORIDE,سیترازم,شربت,1 mg/1mL 60 mL,خوراکی 
ENOXAPARIN SODIUM,انوکسیر,تزریقی,100 mg/1mL 0.4 mL,پرنترال 
EVEROLIMUS,اورولیموس آکویدا,قرص,10 mg,خوراکی 
TAMOXIFEN,تاموکسیفن,قرص,20 mg,خوراکی 
AMOROLFINE (AS HYDROCHLORIDE),آمورونیک,لاک,50 mg/1mL 5 mL,ناخن موضعی
GEMCITABINE HYDROCHLORIDE,جمسدال,محلول,38 mg/1 mL 26.3 mg,غلیظ تزریقی پرنترال
FOSCARNET SODIUM,وُکاروی,محلول,24 mg/1mL 250 mL,تزریقی پرنترال
EMPAGLIFLOZIN / METFORMIN HYDROCHLORIDE,امپاگلیفلوزین / متفورمین,قرص,12.5 mg/1000 mg,خوراکی 
SUFENTANIL (AS CITRATE),سوفنتانیل,تزریقی,5 ug/1mL 10 mm,پرنترال 
ATRACURIUM BESYLATE,نئوکوریوم,تزریقی,10 mg/1mL 5 mg,پرنترال 
METRONIDAZOLE,متروماکس,قرص,250 mg,خوراکی 
SEVOFLURANE,سووفلوران,اینهالر,250 mL mL,استنشاقی 
VITAMIN A / VITAMIN D,پی.آ.د,,850 [iU]/85 [iU]/1g 30 g,پماد موضعی
L-CARNITINE,ال-کارنیتین,محلول,100 mg/1mL 120 mL,خوراکی 
QUETIAPINE (AS FUMARATE),آرو-کوئتیاپین,قرص,200 mg,خوراکی 
FIBRINOGEN,هاموکومپلتان پی,پودر,1 g g,برای تهیه محلول تزریقی پرنترال
PEDIATRIC GRIPPE,کیدی گریپ,شربت,0.67 mg/10 mg/5mL 120 mL,خوراکی 
SALBUTAMOL (AS SULFATE),بوتو-اسما,اسپری,100 ug/1{dose} 200 mg,با دوز اندازه گیری شده استنشاقی
PAZOPANIB (AS HYDROCHLORIDE),پازوتری,قرص,200 mg,خوراکی 
ACETAMINOPHEN,آمیفن,"محلول،",100 mg/1mL 15 mL,قطره خوراکی
CO-AMOXICLAV,کو-آموکسی کلاو,پودر,125 mg/31.25 mg/5mL 100 mL,برای تهیه سوسپانسیون خوراکی
ALBUMIN (HUMAN),آلبومینا باکسالتا,محلول,20 % 50 g,تزریقی پرنترال
ACETAMINOPHEN / CAFFEINE,توژزیک,قرص,500 mg/65 mg,خوراکی 
TRIENTINE DIHYDROCHLORIDE,زیستین,کپسول,300 mg,خوراکی 
CLOZAPINE,کلوزاپین مینو,قرص,100 mg,خوراکی 
ITRACONAZOLE,ایترانکس,کپسول,100 mg,خوراکی 
MULTIVITAMIN,زولی میکس,پودر,0.25 mg/0.36 mg/0.4 mg/0.5 ug/4 mg/1.5 mg/6 ug/10 mg/40 ug/1mL 10 mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
RIVAROXABAN,زابیتا,قرص,20 mg,خوراکی 
VITAMIN B1 / VITAMIN B6 / VITAMIN B12,نوروویم,تزریقی,100 mg/100 mg/1000 ug/3mL mL,پرنترال 
FEXOFENADINE HYDROCHLORIDE,آلگزافن,قرص,180 mg,خوراکی 
GABAPENTIN,گاباکس,کپسول,300 mg,خوراکی 
NYSTATIN,نیستات,پودر,100000 [iU]/1mL mL,برای تهیه سوسپانسیون خوراکی
CYCLOPHOSPHAMIDE,سیکلو اسپال-پی,پودر,1 g mg,برای تهیه محلول تزریقی پرنترال
MEBEVERINE HYDROCHLORIDE,مبورین,قرص,135 mg,خوراکی 
EMPAGLIFLOZIN / LINAGLIPTIN,امپاگلیفلوزین/لیناگلیپتین,قرص,25 mg/5 mg,خوراکی 
KETOTIFEN (AS FUMARATE),پریتیفن,شربت,1 mg/5mL 60 mL,خوراکی 
CELECOXIB,سلکوکسیر,کپسول,200 mg,خوراکی 
IBUPROFEN,اکتوپین,قرص,400 mg,خوراکی 
BOSENTAN,سنتوبایوکس,قرص,62.5 mg,خوراکی 
OCTREOTIDE (AS ACETATE),ساندوستاتین,پودر,20 mg mg,برای تهیه سوسپانسیون تزریقی پیوسته رهش پرنترال
DAPOXETINE (AS HYDROCHLORIDE),دوراکست,قرص,60 mg,خوراکی 
BUDESONIDE,یوسناید,کپسول,3 mg,پیوسته رهش خوراکی
FEXOFENADINE HYDROCHLORIDE,فنوفکسین,قرص,180 mg,خوراکی 
INSULIN ASPART,ویتاسپالن میکس,سوسپانسیون,100 [iU]/1mL 3 [iU],تزریقی پرنترال
ARIPIPRAZOLE,ابیلیزول,قرص,5 mg,خوراکی 
VALPROATE SODIUM,دپاکین کرونو,قرص,333 mg/145 mg,پیوسته رهش خوراکی
LOSARTAN POTASSIUM / HYDROCHLOROTHIAZIDE,هیدروزار,قرص,50 mg/12.5 mg,خوراکی 
TOLTERODINE TARTRATE,تولرین,قرص,2 mg,خوراکی 
PYRIMETHAMINE,پیریمتامین,قرص,25 mg,خوراکی 
CLINDAMYCIN (AS HYDROCHLORIDE),دالاکپ,کپسول,150 mg,خوراکی 
SODIUM PICOSULFATE,پیکودراپ,"محلول،",7.5 mg/1mL 15 mL,قطره خوراکی
OXYCODONE HYDROCHLORIDE,فاروکسی,قرص,20 mg,پیوسته رهش خوراکی
HYOSCINE-N-BUTYL BROMIDE,هیوسین ان-بوتیل بروماید,قرص,10 mg,خوراکی 
GLYCERIN,لاکسرین,شیاف,2 g,مقعدی 
BEVACIZUMAB,اواسیم,محلول,25 mg/1mL 16 mL,غلیظ تزریقی پرنترال
TETRABENAZINE,آکورا,قرص,25 mg,خوراکی 
PROGESTERONE,سیکلوژست,شیاف,400 mg,واژینال 
LEVETIRACETAM,الپرا,قرص,750 mg,خوراکی 
BETAMETHASONE (AS DISODIUM PHOSPHATE),بتازونیت,پماد,0.1 % 3 g,چشمی 
DIPYRIDAMOLE,دی پیریدامول,تزریقی,5 mg/1mL 2 mg,پرنترال 
DEXTROSE,دکستروز,محلول,50 % 50 mL,غلیظ تزریقی داخل وریدی
TRIFLUOPERAZINE,فلوریکس,قرص,2 mg,خوراکی 
SERTACONAZOLE NITRATE,سرتاکونازول عماد,کرم,2 % 30 g,موضعی 
CINNARIZINE,سینازین,قرص,75 mg,خوراکی 
LORAZEPAM,لورازپام,قرص,1 mg,خوراکی 
METFORMIN HYDROCHLORIDE,رهامت,قرص,1000 mg,خوراکی 
TEMOZOLOMIDE,تمودال,کپسول,100 mg,خوراکی 
LEVETIRACETAM,مت اور,قرص,500 mg,خوراکی 
VITAMIN B1 / VITAMIN B6 / VITAMIN B12,نوروتریویت,تزریقی,100 mg/100 mg/1000 ug/3mL mL,پرنترال 
GABAPENTIN,گاباروکس,کپسول,100 mg,خوراکی 
CONTRACEPTIVE DE,دزولست,قرص,0.15 mg/30 ug,خوراکی 
ADULT COLD PREPARATIONS (4-3),رلیکول,قرص,325 mg/5 mg/2 mg,خوراکی 
NAPROXEN,ناپرون,قرص,250 mg,خوراکی 
TRIPTORELIN (AS ACETATE),دکارلین,تزریقی,95.6 ug mg,پرنترال 
AMLODIPINE (AS BESILATE) / VALSARTAN,آملودیپین/ والسارتان - حکیم,قرص,5 mg/80 mg,خوراکی 
LISDEXAMFETAMINE MESILATE,ویاس,کپسول,30 mg,خوراکی 
VINCRISTINE SULFATE,وینکریستین,تزریقی,1 mg/1mL 1 mL,پرنترال 
HYDROCORTISONE ACETATE,هیدروکورتیزون بهسا,پماد,1 % 15 g,موضعی 
LIDOCAINE,لیدوفورت,کرم,4 % 15 g,موضعی 
BEVACIZUMAB,اواستین,محلول,25 mg/1mL 4 mg,غلیظ تزریقی پرنترال
ROSUVASTATIN (AS CALCIUM),آریستاتین,قرص,20 mg,خوراکی 
BRENTUXIMAB VEDOTIN,برنتوکسیمب,پودر,50 mg mg,برای تهیه محلول تزریقی پرنترال
CARBAMAZEPINE,تگربان,قرص,200 mg,خوراکی 
POTASSIUM CITRATE,اوروسیترا,قرص,5 meq,خوراکی 
ACETAMINOPHEN,تایلوفن,محلول,150 mg/1mL 6.7 mL,غلیظ تزریقی داخل وریدی
IODIXANOL,ویزیپک,تزریقی,320 mg/1mL 50 mL,پرنترال 
METOPROLOL TARTRATE,متورال,تزریقی,1 mg/1mL 5 mL,پرنترال 
HYDROXOCOBALAMIN,هیدروکسوکوبالامین,تزریقی,5 mg/1mL 2 mL,پرنترال 
METHOXSALEN,ملادینین,قرص,10 mg,خوراکی 
ONDANSETRON (AS HYDROCHLORIDE),اندانیل,قرص,4 mg,خوراکی 
MELPHALAN,آلکران,قرص,2 mg,خوراکی 
CROMOLYN SODIUM,مولینوز,اسپری,20 mg/1mL 20 mL,از راه بینی
BENZOYL PEROXIDE,پنژل,ژل,10 % 30 g,موضعی 
VITAMIN B6,ویبسیکس,تزریقی,50 mg/1mL 2 mL,پرنترال 
LEVETIRACETAM,الپرا,قرص,1000 mg,خوراکی 
TIRZEPATIDE,اسپارتینا,محلول,10 mg/0.6 mL mL,تزریقی پرنترال
GLICLAZIDE,گلی کلازید,قرص,80 mg,خوراکی 
TACROLIMUS,پروگرف,محلول,5 mg/1mL mg,غلیظ تزریقی پرنترال
TAMSULOSIN HYDROCHLORIDE,یوریهنس,کپسول,0.4 mg,پیوسته رهش خوراکی
METFORMIN HYDROCHLORIDE,نودیاکس,قرص,1000 mg,خوراکی 
LIDOCAINE,لیدوکائین,کرم,4 % 30 g,موضعی 
AZITHROMYCIN,زیتروبان,قرص,250 mg,خوراکی 
CLOBETASOL PROPIONATE,کورتام,لوسیون,0.05 % 25 mL,موضعی 
BUDESONIDE,بودزوناید,سوسپانسیون,0.25 mg/1mL 2 mL,استنشاقی 
METFORMIN HYDROCHLORIDE,آنیفورمین,قرص,500 mg,پیوسته رهش خوراکی
ACITRETIN,آسیرت,کپسول,10 mg,خوراکی 
PERITONEAL DIALYSIS II,دیالیز صفاقی II,,22.7 g/1025.67 meq/3.5 meq/1.5 meq/35 meq/132 meq/1000 mL 2 L,محلول داخل صفاقی
DAPAGLIFLOZIN (AS PROPANEDIOL),داپاگلیفلوزین,قرص,10 mg,خوراکی 
AMLODIPINE (AS BESILATE) / TELMISARTAN,آملو تلمیک,قرص,5 mg/40 mg,خوراکی 
HYDRALAZINE HYDROCHLORIDE,هیدراستات,قرص,25 mg,خوراکی 
VALSARTAN,سووالتان,قرص,80 mg,خوراکی 
SUNITINIB (AS MALATE),سونیتینیب اکویدا,کپسول,12.5 mg,خوراکی 
VINORELBINE (AS TARTRATE),نولبین,کپسول,20 mg,حاوی مایع خوراکی
ZINC OXIDE,تاپی زینک,پماد,25 % 30 g,موضعی 
BISOPROLOL FUMARATE,بیزوفار,قرص,2.5 mg,خوراکی 
LAMOTRIGINE,لاموبیوژین,قرص,50 mg,خوراکی 
ERYTHROMYCIN,اریتروتاپ,محلول,4 % 60 mL,موضعی 
ARIPIPRAZOLE,آریزوور,قرص,5 mg,خوراکی 
ONDANSETRON (AS HYDROCHLORIDE),اوندیوام,تزریقی,2 mg/1 mL 2 mg,پرنترال 
CEFUROXIME (AS AXETIL),سفوروکسیم نورمون,قرص,250 mg,خوراکی 
GUSELKUMAB,ترمفیا,محلول,100 mg/1mL 1 mg,تزریقی پرنترال
CEFTAZIDIME,زاک زیدیم,پودر,2 g g,برای تهیه محلول تزریقی پرنترال
TOFACITINIB (AS CITRATE),توفاکسل,قرص,11 mg,پیوسته رهش خوراکی
HUMAN PAPILLOMAVIRUS VACCINE (BIVALENT),پاپیلوگارد2,تزریقی,0.5 mL mL,پرنترال 
SITAGLIPTIN (AS PHOSPHATE) / METFORMIN HYDROCHLORIDE,سیگومت,قرص,50 mg/500 mg,خوراکی 
TRIFLUOPERAZINE,تری فلوئوپرازین,تزریقی,1 mg/1mL 1 mL,عضلانی 
MACITENTAN,آپسیتنتان,قرص,10 mg,خوراکی 
ACARBOSE,آکارماکس,قرص,100 mg,خوراکی 
NITROGLYCERIN,نیتروگلیسرین سها,قرص,6.4 mg,پیوسته رهش خوراکی
SUMATRIPTAN (AS SUCCINATE),میگراکیم,قرص,100 mg,خوراکی 
BECLOMETHASONE DIPROPIONATE,بی زون,آئروسل,250 ug/1{dose} 200 {Puff},با دوز اندازه گیری شده استنشاقی
NEOSTIGMINE METHYLSULFATE,نئوستیگمین,تزریقی,0.5 mg/1mL 1 mL,پرنترال 
FLECAINIDE ACETATE,وانا فلکائینید,قرص,100 mg,خوراکی 
LEVETIRACETAM,کپرا,قرص,500 mg,خوراکی 
CO-AMOXICLAV,کو-آموکسی کلاو,پودر,400 mg/57 mg/5 mL 100 mL,برای تهیه سوسپانسیون خوراکی
PANTOPRAZOLE (AS SODIUM SESQUIHYDRATE),نولپازا,قرص,40 mg,انتریک کوتد خوراکی
CONTRACEPTIVE LD,لویتود,قرص,30 ug/0.15 mg,خوراکی 
ACETAMINOPHEN / CAFFEINE / IBUPROFEN,آسیفن,کپسول,325 mg/40 mg/200 mg,خوراکی 
RIFAXIMIN,ریفاکسیلان,قرص,550 mg,خوراکی 
CLARITHROMYCIN,کلاریسین,قرص,500 mg,خوراکی 
VALSARTAN,والسارتان-حکیم,قرص,80 mg,خوراکی 
ENZALUTAMIDE,تنزالا,قرص,40 mg,خوراکی 
CARVEDILOL,کارودیلول-جالینوس,قرص,12.5 mg,خوراکی 
INSULIN ISOPHANE,لانسولین ان,تزریقی,100 [iU]/1mL 3 mL,پرنترال 
ANTI-D IMMUNOGLOBULIN,ایمونورو,پودر,300 ug ug,لئوفیلیزه برای تهیه سوسپانسیون تزریقی عضلانی
LEVETIRACETAM,تامیرا,محلول,100 mg/1mL 5 mg,غلیظ تزریقی پرنترال
MAGNESIUM HYDROXIDE,مینوماگ,سوسپانسیون,8 % 240 mL,خوراکی 
SERTRALINE (AS HYDROCHLORIDE),آسنترا,قرص,100 mg,خوراکی 
RIVAROXABAN,زالربان,قرص,20 mg,خوراکی 
EPOETIN,اپولی رک,تزریقی,4000 [iU]/1mL 1 [iU],پرنترال 
SACUBITRIL / VALSARTAN,ساکوفید,قرص,49 mg/51 mg,خوراکی 
ZOLPIDEM TARTRATE,زوسلیپ,قرص,5 mg,خوراکی 
VALSARTAN / HYDROCHLOROTHIAZIDE,پانامیکس,قرص,160 mg/12.5 mg,خوراکی 
IBUPROFEN,ادوینوکس,کپسول,400 mg,حاوی مایع خوراکی
LAMOTRIGINE,لاموژین,قرص,50 mg,خوراکی 
PREGABALIN,لایریور,کپسول,75 mg,خوراکی 
MELOXICAM,ملوکسیب,قرص,15 mg,خوراکی 
EMPAGLIFLOZIN / METFORMIN HYDROCHLORIDE,امپاگلیفلوزین/متفورمین سها,قرص,5 mg/500 mg,خوراکی 
SUCRALFATE,سوکرالفیت,قرص,500 mg,خوراکی 
ACETAMINOPHEN,پدیامکس,سوسپانسیون,120 mg/5mL 120 mL,خوراکی 
DOMPERIDONE,اوپریو,سوسپانسیون,1 mg/1 mL 120 mL,خوراکی 
DEFERIPRONE,آوی دفرون,قرص,500 mg,انتریک کوتد خوراکی
PROPOFOL,پروپوفول ام سی تی,امولسیون,10 mg/1mL 20 mg,تزریقی پرنترال
PREGABALIN,زافکس,کپسول,75 mg,خوراکی 
RITUXIMAB,مبترا,تزریقی,10 mg/1mL 10 mg,پرنترال 
HYOSCINE-N-BUTYL BROMIDE,هیوسین-ان-بوتیل بروماید,تزریقی,20 mg/1mL mm,پرنترال 
BUPIVACAINE HYDROCHLORIDE,مارکووار,تزریقی,0.25 % 10 mL,پرنترال 
LANSOPRAZOLE,لنسوزول,کپسول,30 mg,انتریک کوتد خوراکی
DIENOGEST,وروژست,قرص,2 mg,خوراکی 
IVERMECTIN,ایوکتا,قرص,3 mg,خوراکی 
FOLIC ACID,فولی -1,قرص,1 mg,خوراکی 
DICLOFENAC SODIUM,آفیکلوناک,شیاف,50 mg,مقعدی 
ATENOLOL,آتنولول-تدافارم,قرص,100 mg,خوراکی 
AZELASTINE HYDROCHLORIDE,آلاستینیز-پی بی ای,اسپری,137 ug/1{Puff} 15 mL,با دوز اندازه گیری شده از راه بینی
NITROGLYCERIN,نیترولینگوال,اسپری,400 ug/1{dose} 200 {dose},زیرزبانی 
EXEMESTANE,آرومازین,قرص,25 mg,خوراکی 
ZOLEDRONIC ACID,زوبیس,تزریقی,4 mg/5mL mg,پرنترال 
TEMOZOLOMIDE,آمیتزو,پودر,100 mg mg,لئوفیلیزه برای تهیه محلول تزریقی داخل وریدی
EVEROLIMUS,ایورولیا,قرص,10 mg,خوراکی 
VITAMIN B1 (THIAMINE),ویتامین ب1-ثنامد,قرص,300 mg,خوراکی 
LEVOFLOXACIN,لووفلوکساسین-حکیم,قرص,500 mg,خوراکی 
PROPOFOL,پروپوفول-لیپورو,امولسیون,20 mg/1mL 50 mg,تزریقی پرنترال
PREGABALIN,پرگابالین-حکیم,کپسول,50 mg,خوراکی 
SUMATRIPTAN (AS SUCCINATE),سومی ترکس,قرص,100 mg,خوراکی 
MUPIROCIN,موپیکا,پماد,2 % 15 g,موضعی 
SALBUTAMOL (AS SULFATE),آستالین رسپیول,محلول,2.5 mg/2.5mL mL,استنشاقی 
NITROFURANTOIN,پیلوسپتیل,سوسپانسیون,25 mg/5mL 100 mL,خوراکی 
BIMATOPROST,پروستویژن- پی بی ای,"محلول،",0.01 % 3 mL,قطره چشمی
PAROXETINE (AS HYDROCHLORIDE),پاروکستین,قرص,40 mg,خوراکی 
CEFTIZOXIME,زوکسیم,پودر,1 g g,برای تهیه محلول تزریقی پرنترال
HYDROXOCOBALAMIN,هیدروکسوکوبالامین,تزریقی,5 mg/1mL 2 mm,پرنترال 
METRONIDAZOLE (AS BENZOATE),مترونیدازول( به صورت بنزوات),سوسپانسیون,125 mg/5mL 120 mL,خوراکی 
SUMATRIPTAN (AS SUCCINATE) / NAPROXEN,سوماتریپتان / ناپروکسن,قرص,85 mg/500 mg,خوراکی 
CASPOFUNGIN ACETATE,آروفونجین,پودر,50 mg mg,برای تهیه محلول تزریقی پرنترال
ANAGRELIDE HYDROCHLORIDE,آگریپلت,کپسول,500 ug,خوراکی 
MEXILETINE,مگزیتک,کپسول,200 mg,خوراکی 
OXALIPLATIN,اکسالان,پودر,100 mg mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
OXALIPLATIN,زوپلات,محلول,5 mg/1mL 10 mL,غلیظ تزریقی پرنترال
ARTICAINE / EPINEPHRINE,دنتاکائین,تزریقی,4 %/0.005 mg/1 mL 1.8 mL,پرنترال 
ZINC OXIDE,زینک اکسید عماد,پماد,25 % 30 g,موضعی 
INDOMETHACIN,ایندومتاسین,کپسول,25 mg,خوراکی 
METHYLPHENIDATE HYDROCHLORIDE,متیل فنیدات,,10 mg,قرص خوراکی
OLOPATADINE HYDROCHLORIDE,اولانتین,اسپری,0.6 % 20 mL,از راه بینی
MUPIROCIN,آفیروسین,پماد,2 % 15 g,موضعی 
CEFALEXIN,سفالکسین,پودر,125 mg/5mL 100 mL,برای تهیه سوسپانسیون خوراکی
VITAMIN B1 (THIAMINE),تیاماکس,قرص,300 mg,خوراکی 
POVIDONE IODINE,بهسادین  اسکراب,محلول,7.5 % 1 L,موضعی 
REGORAFENIB,استیوارگا,قرص,40 mg,خوراکی 
CETRORELIX,سترورلیکس,پودر,250 ug ug,برای تهیه محلول تزریقی پرنترال
CASPOFUNGIN ACETATE,لتوکان,پودر,50 mg mg,برای تهیه محلول تزریقی پرنترال
SODIUM PICOSULFATE / MAGNESIUM OXIDE / CITRIC ACID,نوناپیک,پودر,10 mg/3.5 g/12 g g,برای تهیه محلول خوراکی
CARBOPLATIN,کربوپلات,محلول,10 mg/1mL 5 mL,غلیظ تزریقی داخل وریدی
DONEPEZIL HYDROCHLORIDE,آلپزیل,قرص,10 mg,خوراکی 
SODIUM TETRADECYL SULFATE,فیبرووین,تزریقی,3 % 2 mL,پرنترال 
LEVODOPA / CARBIDOPA,پارکین-سی,قرص,100 mg/10 mg,خوراکی 
OXCARBAZEPINE,اکس کارپین,قرص,150 mg,خوراکی 
EPIRUBICIN HYDROCHLORIDE,اپی روبین,محلول,2 mg/1mL 25 mL,غلیظ تزریقی پرنترال
LIOTHYRONINE SODIUM,لیوتیرونین,قرص,25 ug,خوراکی 
TEMOZOLOMIDE,آمیتزو,کپسول,250 mg,خوراکی 
TADALAFIL,پروسیال,قرص,5 mg,خوراکی 
PERMETHRIN,نیکسامل,کرم,1 % 60 g,موضعی 
SACUBITRIL / VALSARTAN,زیوالس,قرص,97 mg/103 mg,خوراکی 
AMOXICILLIN,آفاموکس,کپسول,250 mg,خوراکی 
ENOXAPARIN SODIUM,انوکسیر,تزریقی,100 mg/1mL 0.6 mL,پرنترال 
IBUPROFEN / OXYCODONE HYDROCHLORIDE,ادویکودون,قرص,400 mg/5 mg,خوراکی 
NALTREXONE,اگزوپیو,پودر,380 mg mg,برای تهیه سوسپانسیون تزریقی پیوسته رهش پرنترال
GLICLAZIDE,گلیکوور,قرص,60 mg,پیوسته رهش خوراکی
MESALAZINE,مزالون,قرص,500 mg,انتریک کوتد خوراکی
VALSARTAN / HYDROCHLOROTHIAZIDE,پانامیکس,قرص,80 mg/12.5 mg,خوراکی 
TERIFLUNOMIDE,تبازیو,قرص,14 mg,خوراکی 
TOPIRAMATE,توپیرامات,قرص,25 mg,خوراکی 
TRIPTORELIN (AS ACETATE),میکرورلین,پودر,3.75 mg mg,لئوفیلیزه برای تهیه سوسپانسیون تزریقی پیوسته رهش پرنترال
CLINDAMYCIN (AS PHOSPHATE),دالادیک,تزریقی,150 mg/1mL 2 mL,پرنترال 
CLOTRIMAZOLE,کانازول,کرم,2 % 50 g,واژینال 
LEVETIRACETAM,لوکین,قرص,500 mg,خوراکی 
DIENOGEST,اندورین-آی اچ,قرص,2 mg,خوراکی 
PEDIATRIC GRIPPE,اگزاکید,شربت,0.67 mg/10 mg/5mL 60 mL,خوراکی 
SODIUM CHLORIDE,سدیم کلراید,محلول,0.9 % 100 mL,تزریقی پرنترال
